Site Name,Continent,Country,Habitat,First Year,Last Year,Total Years,MAP,MAT,Taxa
Azi,Asia,CN,alpine grassland,2007,2012,5,711,1.36,43
Bogong,Australia,AU,alpine grassland,2009,2019,11,1678,5.98,19
Boulder South Campus,North America,US,shortgrass prairie,2008,2016,9,487,9.9,9
Bunchgrass (Andrews LTER),North America,US,montane grassland,2007,2018,12,1618,6.77,10
Burrawan,Australia,AU,semiarid grassland,2008,2019,12,643,18.22,10
Cedar Creek LTER,North America,US,tallgrass prairie,2007,2018,12,740,6.34,8
Cedar Point Biological Station,North America,US,shortgrass prairie,2007,2019,13,456,9.64,12
CEREEP - Ecotron IDF,Europe,FR,old field,2012,2018,7,632,10.82,16
Chichaqua Bottoms,North America,US,tallgrass prairie,2009,2019,11,871,9.26,6
Companhia das Lezirias,Europe,PT,annual grassland,2012,2019,8,564,16.58,26
Cowichan,North America,CA,old field,2007,2018,12,762,10.45,5
Elliott Chaparral,North America,US,annual grassland,2008,2019,11,344,17.71,6
Ethabuka (Main Camp),Australia,AU,desert grassland,2013,2019,7,192,24.06,4
Ethabuka (South Site),Australia,AU,desert grassland,2013,2019,7,203,23.95,3
Fruebuel,Europe,CH,pasture,2008,2015,8,1546,6.96,15
Hall's Prairie,North America,US,tallgrass prairie,2007,2014,8,1289,13.83,4
Hart Mountain,North America,US,shrub steppe,2007,2012,6,259,7.75,11
Heronsbrook (Silwood Park),Europe,UK,mesic grassland,2007,2013,7,668,10.17,19
Hopland REC,North America,US,annual grassland,2007,2019,13,1065,13.24,19
Jena,Europe,DE,grassland,2013,2018,6,654,8.57,18
Kibber (Spiti),Asia,IN,alpine grassland,2011,2018,8,400,-1.45,7
Kilpisjärvi,Europe,FI,tundra grassland,2013,2018,6,569,-3.25,24
Kinypanial,Australia,AU,semiarid grassland,2007,2018,11,408,15.59,8
Koffler Scientific Reserve,North America,CA,pasture,2010,2019,10,853,6.28,10
Konza LTER,North America,US,tallgrass prairie,2007,2019,13,889,12.08,17
Lancaster,Europe,UK,mesic grassland,2008,2017,10,1522,8.01,10
Las Chilcas,South America,AR,mesic grassland,2013,2019,7,955,15.09,8
Lookout (Andrews LTER),North America,US,montane grassland,2007,2018,12,1877,6.9,8
Mar Chiquita,South America,AR,grassland,2011,2018,8,907,14.32,14
Mclaughlin UCNRS,North America,US,annual grassland,2007,2019,13,936,13.97,8
Mt. Caroline,Australia,AU,savanna,2008,2018,11,324,17.75,15
Pingelly Paddock,Australia,AU,old field,2013,2018,6,456,16.28,10
Pinjarra Hills,Australia,AU,pasture,2013,2018,5,1085,19.99,5
Rookery (Silwood Park),Europe,UK,mesic grassland,2007,2013,7,685,10.13,12
Saana,Europe,FI,montane grassland,2014,2019,6,521,-2.6,25
Sagehen Creek UCNRS,North America,US,montane grassland,2007,2013,7,831,5.83,16
Savannah River,North America,US,savanna,2007,2012,6,1184,17.43,12
Sedgwick Reserve UCNRS,North America,US,annual grassland,2007,2017,11,478,15.58,4
Sevilleta LTER,North America,US,desert grassland,2007,2018,12,252,13.06,5
Sheep Experimental Station,North America,US,shrub steppe,2007,2016,10,246,5.32,18
Shortgrass Steppe LTER,North America,US,shortgrass prairie,2007,2018,12,369,8.95,6
Sierra Foothills REC,North America,US,annual grassland,2007,2019,13,936,16.31,7
Smith Prairie,North America,US,mesic grassland,2007,2016,10,605,10.18,25
Spindletop,North America,US,pasture,2007,2019,13,1152,12.48,9
Temple,North America,US,tallgrass prairie,2007,2016,10,877,19.4,15
Trelease,North America,US,tallgrass prairie,2008,2017,10,992,11.07,5
Ukulinga,Africa,ZA,mesic grassland,2009,2018,10,832,17.65,17
Val Mustair,Europe,CH,alpine grassland,2008,2019,11,681,0.13,30
Yarramundi,Australia,AU,mesic grassland,2014,2019,6,844,17.32,5
