Site Name,ρ(N-P),ρ(N-K),ρ(P-K),ΔN,ΔP,ΔK,D
Azi,0.4,0.68,0.47,1.3,1.35,1.44,0.32
Bogong,0.28,0.59,0.57,0.44*,0.42*,0.38*,0.35
Boulder South Campus,-0.06,0.05,0.67,0.44,0.56*,0.44,0.52
Bunchgrass (Andrews LTER),0.22,0.67,0.52,0.25,0.46*,0.43*,0.35
Burrawan,0.26,0.32,-0.03,0.17,0.2,0.17,0.54
Cedar Creek LTER,0.43,0.14,0.57,0.53*,0.18,0.22,0.41
Cedar Point Biological Station,0.2,0.18,0.43,0.36*,0.23*,0.27*,0.49
CEREEP - Ecotron IDF,0.13,0.15,0.61,1.12*,0.91,1.12*,0.47
Chichaqua Bottoms,0.48,0.57,0.6,0.30*,0.25,0.27*,0.3
Companhia das Lezirias,0.44,0.2,0.38,1.15*,1.10*,0.75,0.44
Cowichan,-0.3,0.66,-0.01,0.12,0.27*,0.17,0.59
Elliott Chaparral,0.5,-0.12,0.66,0.22,0.26,0.27,0.44
Ethabuka (Main Camp),-0.08,0.57,0.28,0.28,0.83*,0.43,0.5
Ethabuka (South Site),0.77,0.88,0.92,0.59*,0.32,0.52,0.09
Fruebuel,0.58,0.15,0.49,1.05*,0.99*,0.83*,0.4
Hall's Prairie,0.56,0.58,0.04,1.13*,0.66*,0.68*,0.4
Hart Mountain,0.91,0.46,0.5,0.96*,0.73,0.57,0.25
Heronsbrook (Silwood Park),0.21,0.6,0.28,1.03*,0.67,0.66,0.42
Hopland REC,0.33,0.75,0.58,1.01*,0.49,0.68*,0.3
Jena,-0.25,0.06,0.2,0.97*,0.62,0.64,0.67
Kibber (Spiti),0.3,0.48,0.74,0.25,0.26,0.27,0.33
KilpisjÃ¤rvi,0.4,0.22,0.8,1.03*,0.78,0.46,0.35
Kinypanial,-0.08,0.23,0.84,0.16,0.32,0.26,0.45
Koffler Scientific Reserve at Joker's Hill,0.32,0.6,0.53,0.88*,0.65*,0.54*,0.34
Konza LTER,0.29,0.23,0.55,0.43*,0.28,0.37,0.43
Lancaster,0.55,0.57,0.57,0.44,0.38,0.38,0.29
Las Chilcas,0.71,0.55,0.83,0.78*,0.52,0.84*,0.2
Lookout (Andrews LTER),0.66,0.88,0.86,0.38*,0.39*,0.50*,0.13
Mar Chiquita,0.75,0.54,0.6,0.62,0.58,0.6,0.25
Mclaughlin UCNRS,0.51,0.24,0.24,0.41,0.33,0.38,0.45
Mt. Caroline,0.67,0.71,0.6,0.67*,0.62*,0.52*,0.23
Pingelly Paddock,0.46,-0.08,-0.29,0.74,1.28*,0.61,0.65
Pinjarra Hills,0.55,0.25,0.81,0.78,1.06,0.77,0.31
Rookery (Silwood Park),0.8,0.74,0.8,0.99*,1.50*,0.73,0.15
Saana,0.61,0.56,0.62,1.25*,0.98*,1.09*,0.27
Sagehen Creek UCNRS,0.12,0.49,0.17,0.63,0.49,0.45,0.49
Savannah River,0.42,0.12,0.38,0.76,0.99,0.55,0.46
Sedgwick Reserve UCNRS,0.61,0.84,0.94,0.38*,0.39*,0.36*,0.14
Sevilleta LTER,0.8,0.92,0.94,0.36*,0.14,0.14,0.08
Sheep Experimental Station,-0.11,0.53,-0.12,0.28*,0.17,0.21,0.6
Shortgrass Steppe LTER,-0.01,0.36,0.53,0.43*,0.26*,0.1,0.47
Sierra Foothills REC,-0.38,0.23,0.59,0.34,0.24,0.29,0.57
Smith Prairie,0.15,0.15,0.06,0.53*,0.47*,0.35,0.59
Spindletop,0.66,0.14,0.2,0.24,0.25,0.60*,0.44
Temple,0.28,0.24,0.5,0.41,0.61*,0.55,0.44
Trelease,-0.27,-0.51,0.48,0.55*,0.28,0.23,0.73
Ukulinga,0.17,-0.06,0.51,0.58*,0.51*,0.75*,0.53
Val Mustair,0.56,0.4,0.45,0.45*,0.57*,0.3,0.35
Yarramundi,0.75,0.65,0.2,0.36,0.36,0.65*,0.31
